Timestamp,Electricity_Load,Temperature,Humidity,Day_of_Week,Time_of_Day,Holiday_Indicator,Previous_Load,Transportation_Data,Operational_Metrics,IoT_Sensor_Data,External_Factors,Day_Ahead_Demand,Real_Time_LMP,Regulation_Capacity,Day_Ahead_LMP,Day_Ahead_EC,Day_Ahead_CC,Day_Ahead_MLC,Real_Time_EC,Real_Time_CC,Real_Time_MLC,System_Load
1/1/2015,753,2,69,3,Afternoon,1,812,25,201,0.808577875,Regulatory,611,25.14138888,82,33.52604979,13.66169465,4.339327526,1.568146175,18.90366393,4.407352742,1.385886955,518
1/2/2015,872,14,26,4,Evening,0,963,25,139,0.400364066,Other,895,20.70390898,75,44.54788946,6.118155585,8.685589838,4.317611359,22.45821227,5.615719774,2.689897823,503
1/3/2015,525,19,73,5,Afternoon,0,753,11,497,0.74884754,Economic,678,46.36738376,87,37.80782714,8.405380481,6.072039529,3.776702996,13.40058722,1.741812132,1.610318595,897
1/4/2015,568,23,59,6,Morning,0,839,16,464,0.213119031,Regulatory,512,49.86244137,54,41.70066448,9.233539461,4.299356303,1.900628763,16.55840812,3.974303453,2.798738493,526
1/5/2015,636,28,32,0,Afternoon,0,505,24,142,0.089296309,Regulatory,788,34.63159617,97,56.76289208,8.772968779,2.025393675,2.949035637,20.76051195,4.140474823,1.041745821,958
1/6/2015,952,31,20,1,Night,0,967,44,338,0.293431738,Other,930,35.81549744,86,45.36012088,10.99388999,4.038406765,1.980095766,24.33064132,2.84629397,1.035372856,647
1/7/2015,681,30,63,2,Night,0,861,36,134,0.62881269,Regulatory,556,35.97140316,53,45.84714693,12.11608583,8.818268589,1.89541755,17.89333449,1.40841098,1.903053522,684
1/8/2015,943,8,68,3,Evening,0,992,13,191,0.559112175,Other,728,36.25799608,84,43.25039493,7.330128076,7.541367128,4.537093854,16.58540245,7.610186873,2.335045505,960
1/9/2015,700,9,37,4,Night,0,841,21,175,0.182765175,Other,963,27.23640748,88,48.4162289,12.14896783,2.750290813,4.376475148,16.76987891,5.039347801,2.241125028,670
1/10/2015,876,26,67,5,Morning,0,978,29,183,0.588449961,Economic,555,23.06838497,80,48.42643095,17.90445065,9.648400947,1.445616156,19.97258009,2.964103502,0.748446435,587
1/11/2015,764,32,76,6,Afternoon,0,795,23,114,0.808661461,Other,716,35.95397611,84,42.81683831,9.118319268,6.558122574,2.869627553,19.61839914,5.914367124,1.482192458,980
1/12/2015,890,11,68,0,Morning,0,631,30,193,0.660860261,Economic,936,29.94683236,71,50.8092378,17.22949524,7.614377886,3.596067674,16.78506457,1.089845605,1.790801328,924
1/13/2015,656,0,50,1,Morning,0,940,19,384,0.876470563,Economic,917,34.97079496,91,40.51957953,7.626343901,3.145754176,1.719606348,17.19389244,7.293346394,0.672928122,566
1/14/2015,551,14,77,2,Evening,0,524,46,307,0.878311459,Other,749,26.76155448,96,48.58643296,10.97692466,3.690495125,4.116638151,10.37476316,1.937603099,0.977183632,564
1/15/2015,751,-3,36,3,Night,0,908,25,150,0.398006383,Regulatory,919,48.27735324,69,43.16453135,12.69047773,9.415247683,4.308232436,20.76036306,3.912110431,2.419196887,619
1/16/2015,761,15,59,4,Evening,0,536,40,179,0.639481339,Economic,674,25.85606733,64,37.21565996,7.222589583,5.284631021,2.764812956,14.36686663,6.027897278,1.316112039,827
1/17/2015,688,6,39,5,Evening,0,912,10,328,0.695862226,Economic,502,30.68840968,81,46.08186758,16.11591032,4.5386243,1.84552369,23.04649884,1.058403197,1.658984241,746
1/18/2015,935,31,32,6,Evening,0,891,22,250,0.904025232,Economic,544,22.62727292,95,55.15586496,19.34607317,6.729469637,3.398047961,17.43048544,4.029412183,1.647016428,665
1/19/2015,723,32,38,0,Morning,0,587,11,285,0.722845037,Regulatory,826,45.40124952,73,32.71895323,13.59061996,2.322377048,2.009879249,17.18376382,3.564547191,0.648692003,787
1/20/2015,826,-9,55,1,Morning,0,946,47,281,0.891740156,Regulatory,668,27.05324792,88,46.0692389,9.032470509,3.858438727,2.643724976,10.48163444,7.174028264,0.766173394,956
1/21/2015,611,13,37,2,Morning,0,593,25,337,0.124259205,Economic,856,23.06733242,97,32.23806433,19.68395578,2.360910578,2.956564106,11.80867995,7.482838493,2.024789073,509
1/22/2015,736,-6,50,3,Night,0,521,34,272,0.548948084,Other,620,38.18119595,76,54.10900745,7.61737114,9.281577127,1.973347667,16.81913937,6.736107514,1.755674562,754
1/23/2015,890,13,78,4,Evening,0,858,29,191,0.504569634,Economic,547,21.07762578,83,57.37739922,8.791361122,5.971407515,4.308890905,14.48565773,2.805464715,1.62407814,674
1/24/2015,953,-7,52,5,Morning,0,681,41,136,0.717446127,Economic,529,23.31474156,95,48.86151174,7.300409974,5.471171495,1.301092427,15.64922203,7.35383087,0.68848055,959
1/25/2015,568,0,62,6,Evening,0,890,12,175,0.700272199,Regulatory,939,28.5713819,89,37.26549103,12.70616358,9.537661967,2.732583381,15.86656838,7.386956132,1.142777832,673
1/26/2015,798,25,34,0,Morning,0,595,13,346,0.208151319,Economic,568,24.96766223,53,59.96667262,15.35048534,8.270439126,1.65539358,15.48513407,1.268486307,1.730032579,591
1/27/2015,552,-2,36,1,Morning,0,906,17,236,0.377229208,Other,628,34.36894869,87,47.1361558,10.3522088,8.601726497,2.316925462,22.47979699,6.204757505,1.929322723,837
1/28/2015,641,22,20,2,Morning,0,817,43,498,0.504638483,Economic,790,46.03495454,89,41.45704051,7.886431036,3.462080011,4.890190373,14.53339984,5.526101087,1.353078237,501
1/29/2015,955,0,49,3,Evening,0,760,25,285,0.273321831,Regulatory,899,46.19810471,95,56.49908073,16.44171588,5.60872024,2.306746417,14.35196987,2.933529959,1.059429605,832
1/30/2015,839,0,25,4,Afternoon,0,734,38,413,0.3402263,Other,538,33.21407128,82,43.38928653,13.40837191,2.406420322,3.300146954,10.55921685,3.201136671,2.992773418,578
1/31/2015,540,22,31,5,Night,1,823,15,116,0.242257412,Economic,699,34.03927541,93,58.63361712,5.694607926,2.032504798,3.913554706,15.92679445,7.323568588,0.962836665,516
2/1/2015,620,4,28,6,Night,0,866,18,156,0.171756559,Regulatory,644,39.08078401,54,51.41400728,7.290170848,8.635245073,1.903850425,14.22597136,6.940130848,2.217328711,649
2/2/2015,700,29,60,0,Afternoon,0,732,41,406,0.531463249,Other,944,28.37206872,61,53.94516766,19.06298029,4.937318832,2.547759984,15.83519006,2.566478757,1.516339484,834
2/3/2015,799,10,77,1,Night,0,738,30,455,0.27677699,Other,789,21.3029141,81,48.58986852,13.98919511,2.433644629,1.98508131,24.28052868,3.672271453,2.402202843,872
2/4/2015,920,29,37,2,Afternoon,1,535,15,473,0.971034762,Other,977,22.04772005,79,43.26193678,10.08868577,3.127564362,3.511889284,21.22296823,5.650006456,1.160108513,555
2/5/2015,561,-3,50,3,Evening,0,507,10,393,0.768736634,Regulatory,797,41.7367153,89,45.21058854,12.63447177,2.948776452,3.85435307,23.87860945,2.822984254,0.939546122,694
2/6/2015,524,-10,48,4,Morning,0,584,20,165,0.873116135,Other,718,35.92743239,77,48.8786173,6.083840352,5.053353481,2.946391029,17.33078896,1.0955667,1.09112748,702
2/7/2015,774,-10,35,5,Afternoon,1,503,19,319,0.98418486,Regulatory,644,48.54020105,67,53.25665926,15.70625954,8.166558598,2.41796017,21.98024307,1.769760558,1.508663408,872
2/8/2015,908,13,20,6,Night,0,573,42,496,0.89473538,Economic,691,20.8302389,89,55.77361075,16.09700733,7.737734528,1.929156717,20.08619218,7.880617509,2.884347671,877
2/9/2015,587,19,24,0,Morning,0,541,39,421,0.917963969,Other,678,42.38030598,94,40.22970162,13.71594914,4.116074385,2.90460036,16.5306619,7.496589496,2.869343529,814
2/10/2015,711,11,70,1,Morning,0,722,46,260,0.906525805,Regulatory,934,32.51427309,86,40.12157735,19.72310018,5.196698894,3.849695457,11.11418921,3.92770299,2.304755323,947
2/11/2015,965,22,54,2,Afternoon,0,693,19,225,0.836539066,Regulatory,581,34.56623099,77,50.3017364,7.51965227,2.563070171,3.079528274,15.78254202,3.170284016,2.729041501,743
2/12/2015,903,24,49,3,Evening,0,944,17,471,0.971137102,Economic,828,36.79506853,54,34.38285917,10.57225528,6.798755957,3.362101944,19.06191995,4.347898506,2.018846554,578
2/13/2015,916,29,48,4,Morning,0,832,40,487,0.688036073,Economic,894,22.28503648,68,39.55340988,5.419559711,9.539411244,3.347349731,23.35016487,3.403306983,2.589851989,724
2/14/2015,519,31,67,5,Night,0,943,45,158,0.281131006,Other,595,31.50965573,55,42.51307809,19.83191345,4.437993258,4.719318974,10.27029098,1.709905366,2.098318545,934
2/15/2015,686,17,26,6,Morning,0,651,20,187,0.416386037,Other,562,21.72571833,75,50.21781827,17.08379433,5.154659046,3.370384173,20.10891836,4.897691495,0.603229981,740
2/16/2015,517,18,53,0,Night,0,963,31,486,0.476061317,Regulatory,932,28.55502524,99,33.3844651,17.2619196,4.644165944,3.088940175,13.9953942,1.296332004,2.585352807,902
2/17/2015,561,1,31,1,Afternoon,0,841,41,467,0.388637807,Other,610,35.57301748,59,35.34715941,15.62906536,7.867876252,2.567344753,16.63563288,3.977266182,2.65768044,680
2/18/2015,948,9,67,2,Evening,0,889,19,356,0.128942686,Other,854,28.31662772,91,30.11153253,9.191906679,4.258206295,1.021520889,21.24300961,3.501975728,0.698281611,587
2/19/2015,643,21,42,3,Afternoon,0,723,17,324,0.553378314,Economic,920,21.67879481,84,57.45302945,12.94770017,8.782599915,4.430811256,18.98235262,2.794611796,1.696757422,821
2/20/2015,598,31,69,4,Afternoon,0,922,44,458,0.034136013,Regulatory,678,24.95558719,52,54.39425712,16.63131366,3.568744364,3.876322856,11.95458308,2.707267655,1.663429059,870
2/21/2015,857,-1,22,5,Morning,0,523,16,291,0.357261292,Other,571,25.12321039,68,32.46376539,7.078277441,9.587375134,2.226190688,12.07128283,7.595043152,0.521940111,737
2/22/2015,782,5,61,6,Morning,1,885,34,172,0.097979002,Economic,782,43.85522272,82,59.01874729,19.76107027,4.002844001,1.263473045,13.13798359,7.640816996,1.330324455,978
2/23/2015,569,15,36,0,Morning,1,500,19,299,0.675996801,Economic,931,22.79427748,68,59.7001739,10.17373564,2.270860462,3.623085032,11.99353486,2.104547034,1.942027639,576
2/24/2015,581,4,61,1,Morning,1,976,29,285,0.30075599,Regulatory,878,30.65199796,83,39.24474574,16.03338937,7.616044711,1.509528882,22.74147889,1.325806099,0.846694218,922
2/25/2015,500,6,21,2,Evening,0,627,48,302,0.681173662,Regulatory,858,44.94661959,79,37.73313912,16.36039961,8.113022568,2.274576298,11.58970947,3.141665273,1.762926646,611
2/26/2015,622,22,43,3,Night,0,973,47,354,0.316141882,Economic,506,38.02333158,68,39.9356554,13.0336377,3.437050164,1.756317674,16.40244949,5.493407887,2.745690221,793
2/27/2015,906,28,61,4,Afternoon,0,870,48,427,0.374499094,Regulatory,617,24.78231902,97,53.50448304,12.91537978,5.866028022,3.487349907,18.21477475,5.030060263,1.591611503,980
2/28/2015,567,32,68,5,Morning,0,994,18,194,0.01445896,Other,650,25.18467171,55,41.78106841,8.676153621,3.728689804,3.949817134,15.3770586,5.98348521,2.905603643,994
3/1/2015,512,12,61,6,Morning,0,776,23,208,0.57339866,Regulatory,989,36.20216798,56,51.48311895,17.18123411,9.318350342,3.820939257,19.94746701,3.997782623,1.420429194,734
3/2/2015,651,-10,62,0,Evening,0,672,16,213,0.314357672,Regulatory,605,35.53277433,60,33.76520725,14.10602223,4.858228327,2.546758282,13.4510886,5.082115183,2.355452919,540
3/3/2015,945,33,43,1,Evening,0,830,25,441,0.992012585,Economic,631,46.35911865,64,54.50311358,13.38559332,6.80231463,1.096343577,16.99068866,3.288546483,0.710674412,677
3/4/2015,869,18,27,2,Evening,0,984,32,112,0.400117371,Economic,799,28.81660731,90,52.48160079,14.55007419,4.314623562,2.097352819,24.88534655,2.88327585,0.624869484,662
3/5/2015,581,27,59,3,Evening,1,789,39,123,0.04868158,Regulatory,928,27.36271834,59,30.37171941,5.077221487,9.609773063,1.017093084,20.14596115,6.287127915,1.037412326,900
3/6/2015,697,-3,74,4,Evening,1,804,20,317,0.571918189,Economic,638,23.08854621,77,46.88466783,17.20908647,7.236079842,3.875366835,10.57151022,6.909401255,1.240747559,694
3/7/2015,583,3,68,5,Afternoon,0,903,40,131,0.609695792,Regulatory,548,44.63611038,95,59.87550725,5.901308363,7.21761179,2.289625585,12.76964809,2.164837762,1.556376469,618
3/8/2015,745,20,36,6,Afternoon,0,749,32,385,0.446622006,Economic,927,32.3359586,62,51.3308728,18.65332496,4.030191842,2.741894816,14.35403785,3.537325984,0.876521209,701
3/9/2015,858,2,59,0,Morning,0,901,15,379,0.280790897,Other,794,35.23789419,78,49.53091497,13.4676391,2.225811751,4.792339965,24.68978985,5.427245414,0.863839736,914
3/10/2015,933,-8,68,1,Afternoon,0,952,46,456,0.646715057,Economic,790,42.80404203,70,56.7289722,12.90577007,2.525955053,2.405567324,17.61407858,3.980354217,1.828816364,714
3/11/2015,699,29,20,2,Afternoon,0,649,14,480,0.676056907,Economic,746,35.75605236,64,33.27457972,13.96820189,9.303592639,3.550354766,13.99790239,6.230759621,1.865498577,767
3/12/2015,677,22,35,3,Night,0,587,37,187,0.488256979,Economic,761,26.37795192,63,35.50479763,12.85099565,8.548678019,3.92967593,21.13600018,2.465503783,2.105549711,646
